account_id,english_name,year,month,predicted_monthly_value
1280CD,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,874.78
1280CD,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,1293.795
6460U,Adjustment - Cost of Labour Sales Body Shop,2025,1,873.135
6460U,Adjustment - Cost of Labour Sales Body Shop,2025,2,48.145
6460U,Adjustment - Cost of Labour Sales Body Shop,2025,3,54.8741
6460G,Adjustment - Cost of Labour Sales Body Shop,2025,1,776.12
6460G,Adjustment - Cost of Labour Sales Body Shop,2025,2,0.0
6460G,Adjustment - Cost of Labour Sales Body Shop,2025,3,54.8741
6110G,Adjustment Cost of Labour Sales - Mechanical,2025,1,100.25875
6110G,Adjustment Cost of Labour Sales - Mechanical,2025,2,-1.0077
6110G,Adjustment Cost of Labour Sales - Mechanical,2025,3,-0.0064
6110U,Adjustment Cost of Labour Sales - Mechanical,2025,1,100.25875
6110U,Adjustment Cost of Labour Sales - Mechanical,2025,2,-1.1808
6110U,Adjustment Cost of Labour Sales - Mechanical,2025,3,-0.0064
4531G,Adjustments - Used Vehicles Inventory,2025,1,1.375
4531G,Adjustments - Used Vehicles Inventory,2025,2,0.21719999999999998
4531G,Adjustments - Used Vehicles Inventory,2025,3,0.9351
8005D,Advertising (Institutional),2025,1,324.685
8005D,Advertising (Institutional),2025,2,34.15
8005D,Advertising (Institutional),2025,3,61.95
0983P,Advisors,2025,1,0.0
0983P,Advisors,2025,2,0.0
0983P,Advisors,2025,3,0.0
0991P,Advisors,2025,1,0.0
0991P,Advisors,2025,2,0.0
0991P,Advisors,2025,3,0.0
2320XD,Allowance for Doubtful Accounts,2025,1,1500.375
2320XD,Allowance for Doubtful Accounts,2025,2,0.095
2320XD,Allowance for Doubtful Accounts,2025,3,15.07
8432D,Amortization - Leaseholds,2025,1,0.0
8432D,Amortization - Leaseholds,2025,2,0.0
8432D,Amortization - Leaseholds,2025,3,0.0
8431D,Amortization - Leaseholds,2025,1,0.0
8431D,Amortization - Leaseholds,2025,2,0.0
8431D,Amortization - Leaseholds,2025,3,0.0
8434D,Amortization - Leaseholds,2025,1,0.0
8434D,Amortization - Leaseholds,2025,2,0.0
8434D,Amortization - Leaseholds,2025,3,0.0
8435D,Amortization - Leaseholds,2025,1,0.0
8435D,Amortization - Leaseholds,2025,2,0.0
8435D,Amortization - Leaseholds,2025,3,0.0
0985P,Apprentices,2025,1,0.0
0985P,Apprentices,2025,2,0.0
0985P,Apprentices,2025,3,0.0
0993P,Apprentices,2025,1,0.0
0993P,Apprentices,2025,2,0.0
0993P,Apprentices,2025,3,0.0
392DU,APR.,2025,1,102.755
392DU,APR.,2025,2,0.0
392DU,APR.,2025,3,0.0
391DU,APR.,2025,1,102.755
391DU,APR.,2025,2,0.84
391DU,APR.,2025,3,1.26
396DU,APR.,2025,1,102.755
396DU,APR.,2025,2,0.0
396DU,APR.,2025,3,0.0
395HU,AUG.,2025,1,0.0
395HU,AUG.,2025,2,0.0
395HU,AUG.,2025,3,0.26
391HU,AUG.,2025,1,0.0
391HU,AUG.,2025,2,0.0
391HU,AUG.,2025,3,0.0
392HU,AUG.,2025,1,0.0
392HU,AUG.,2025,2,0.0
392HU,AUG.,2025,3,0.0
8254D,Bad Debts,2025,1,0.0
8254D,Bad Debts,2025,2,0.0
8254D,Bad Debts,2025,3,0.0
8251D,Bad Debts,2025,1,0.0
8251D,Bad Debts,2025,2,0.0
8251D,Bad Debts,2025,3,0.0
8252D,Bad Debts,2025,1,0.0
8252D,Bad Debts,2025,2,0.0
8252D,Bad Debts,2025,3,0.0
8255D,Bad Debts,2025,1,0.0
8255D,Bad Debts,2025,2,96.05
8255D,Bad Debts,2025,3,0.0
5210G,Body P&A RO,2025,1,0.0
5210G,Body P&A RO,2025,2,0.0
5210G,Body P&A RO,2025,3,0.0
5210S,Body P&A RO,2025,1,0.0
5210S,Body P&A RO,2025,2,0.0
5210S,Body P&A RO,2025,3,0.0
M18000ED,Body Shop,2025,1,-213.0
M18000ED,Body Shop,2025,2,0.0
M18000ED,Body Shop,2025,3,0.0
5450S,Body Shop Materials,2025,1,0.04
5450S,Body Shop Materials,2025,2,0.00135
5450S,Body Shop Materials,2025,3,-0.00165
8501D,Bonuses - Employees,2025,1,0.0
8501D,Bonuses - Employees,2025,2,23.425
8501D,Bonuses - Employees,2025,3,0.0
8504D,Bonuses - Employees,2025,1,0.0
8504D,Bonuses - Employees,2025,2,23.425
8504D,Bonuses - Employees,2025,3,0.0
8505D,Bonuses - Employees,2025,1,0.0
8505D,Bonuses - Employees,2025,2,23.425
8505D,Bonuses - Employees,2025,3,0.005
8502D,Bonuses - Employees,2025,1,0.0
8502D,Bonuses - Employees,2025,2,23.425
8502D,Bonuses - Employees,2025,3,0.0
8345D,Charitable Donations,2025,1,0.0
8345D,Charitable Donations,2025,2,0.0
8345D,Charitable Donations,2025,3,0.0
8342D,Charitable Donations,2025,1,0.0
8342D,Charitable Donations,2025,2,0.0
8342D,Charitable Donations,2025,3,0.0
8341D,Charitable Donations,2025,1,0.0
8341D,Charitable Donations,2025,2,0.0
8341D,Charitable Donations,2025,3,1.355
8344D,Charitable Donations,2025,1,0.0
8344D,Charitable Donations,2025,2,0.0
8344D,Charitable Donations,2025,3,0.0
3704S,Chemical / Other Income (CPO),2025,1,0.005
3704S,Chemical / Other Income (CPO),2025,2,112.45665000000001
3704S,Chemical / Other Income (CPO),2025,3,5.495
3704G,Chemical / Other Income (CPO),2025,1,5.605
3704G,Chemical / Other Income (CPO),2025,2,118.10165
3704G,Chemical / Other Income (CPO),2025,3,49.425
3630G,Chemical / Other Income (Non CPO),2025,1,1646.17
3630G,Chemical / Other Income (Non CPO),2025,2,1865.04665
3630G,Chemical / Other Income (Non CPO),2025,3,270.76
3630S,Chemical / Other Income (Non CPO),2025,1,1862.175
3630S,Chemical / Other Income (Non CPO),2025,2,1291.01165
3630S,Chemical / Other Income (Non CPO),2025,3,483.26
3708S,Chemical / Other Income (Other Makes),2025,1,0.035
3708S,Chemical / Other Income (Other Makes),2025,2,0.02165
3708S,Chemical / Other Income (Other Makes),2025,3,0.0
3708G,Chemical / Other Income (Other Makes),2025,1,39.84
3708G,Chemical / Other Income (Other Makes),2025,2,29.67165
3708G,Chemical / Other Income (Other Makes),2025,3,0.0
8662D,Company Vehicle Expense,2025,1,470.73
8662D,Company Vehicle Expense,2025,2,194.135
8662D,Company Vehicle Expense,2025,3,25.735
8665D,Company Vehicle Expense,2025,1,406.92
8665D,Company Vehicle Expense,2025,2,31.69
8665D,Company Vehicle Expense,2025,3,19.35
8661D,Company Vehicle Expense,2025,1,1428.895
8661D,Company Vehicle Expense,2025,2,1206.52
8661D,Company Vehicle Expense,2025,3,653.21
8664D,Company Vehicle Expense,2025,1,421.155
8664D,Company Vehicle Expense,2025,2,114.48
8664D,Company Vehicle Expense,2025,3,117.13
8105D,Compensation - Clerical,2025,1,903.49
8105D,Compensation - Clerical,2025,2,288.315
8105D,Compensation - Clerical,2025,3,15.795
8640D,Compensation - Insurance,2025,1,54.93
8640D,Compensation - Insurance,2025,2,16.18
8640D,Compensation - Insurance,2025,3,0.85
8641D,Compensation - Insurance,2025,1,54.93
8641D,Compensation - Insurance,2025,2,16.57
8641D,Compensation - Insurance,2025,3,0.85
8642D,Compensation - Insurance,2025,1,54.93
8642D,Compensation - Insurance,2025,2,16.57
8642D,Compensation - Insurance,2025,3,0.85
8174D,Compensation - Other Supervisor,2025,1,648.95
8174D,Compensation - Other Supervisor,2025,2,327.875
8174D,Compensation - Other Supervisor,2025,3,507.145
8175D,Compensation - Other Supervisor,2025,1,255.145
8175D,Compensation - Other Supervisor,2025,2,206.665
8175D,Compensation - Other Supervisor,2025,3,221.745
8171D,Compensation - Other Supervisor,2025,1,533.855
8171D,Compensation - Other Supervisor,2025,2,238.905
8171D,Compensation - Other Supervisor,2025,3,62.24
8172D,Compensation - Other Supervisor,2025,1,202.03
8172D,Compensation - Other Supervisor,2025,2,79.635
8172D,Compensation - Other Supervisor,2025,3,9.39
8085D,Compensation - Owner,2025,1,469.225
8085D,Compensation - Owner,2025,2,173.68
8085D,Compensation - Owner,2025,3,20.77
8621D,Compensation - Service Contracts,2025,1,85.285
8621D,Compensation - Service Contracts,2025,2,8.09
8621D,Compensation - Service Contracts,2025,3,0.0
8622D,Compensation - Service Contracts,2025,1,85.285
8622D,Compensation - Service Contracts,2025,2,-62.465
8622D,Compensation - Service Contracts,2025,3,0.0
8620D,Compensation - Service Contracts,2025,1,85.285
8620D,Compensation - Service Contracts,2025,2,8.09
8620D,Compensation - Service Contracts,2025,3,0.0
8095D,Compensation - Supervisors,2025,1,4089.75
8095D,Compensation - Supervisors,2025,2,694.39
8095D,Compensation - Supervisors,2025,3,181.035
6143DZ,CP Effective Rate as a % of Posted Rate,2025,1,1.5167000000000002
6143DZ,CP Effective Rate as a % of Posted Rate,2025,2,-3.3931999999999944
6143DZ,CP Effective Rate as a % of Posted Rate,2025,3,7.045099999999992
5216G,CPO P&A RO,2025,1,0.0
5216G,CPO P&A RO,2025,2,-0.105
5216G,CPO P&A RO,2025,3,0.0
5216S,CPO P&A RO,2025,1,0.0
5216S,CPO P&A RO,2025,2,-0.105
5216S,CPO P&A RO,2025,3,0.0
5216U,CPO P&A RO,2025,1,0.0
5216U,CPO P&A RO,2025,2,-0.105
5216U,CPO P&A RO,2025,3,0.0
5011S,CPO Warranty Labour - MITSUBISHI,2025,1,0.0
5011S,CPO Warranty Labour - MITSUBISHI,2025,2,-0.105
5011S,CPO Warranty Labour - MITSUBISHI,2025,3,0.0
5011G,CPO Warranty Labour - MITSUBISHI,2025,1,0.0
5011G,CPO Warranty Labour - MITSUBISHI,2025,2,-0.105
5011G,CPO Warranty Labour - MITSUBISHI,2025,3,0.0
2130D,Current Portion of Long Term Debt,2025,1,65518.0
2130D,Current Portion of Long Term Debt,2025,2,1047.5
2130D,Current Portion of Long Term Debt,2025,3,1000.0
5400S,Customer Body Shop Labour,2025,1,0.12
5400S,Customer Body Shop Labour,2025,2,0.0
5400S,Customer Body Shop Labour,2025,3,0.725
5400G,Customer Body Shop Labour,2025,1,0.12
5400G,Customer Body Shop Labour,2025,2,0.0
5400G,Customer Body Shop Labour,2025,3,0.725
2010D,Customer Deposits,2025,1,11930.03
2010D,Customer Deposits,2025,2,11735.31
2010D,Customer Deposits,2025,3,12304.225
8275D,Data Processing,2025,1,177.785
8275D,Data Processing,2025,2,97.17
8275D,Data Processing,2025,3,21.77
5215U,DCP P&A RO,2025,1,6.065
5215U,DCP P&A RO,2025,2,0.0
5215U,DCP P&A RO,2025,3,0.0
5215S,DCP P&A RO,2025,1,6.065
5215S,DCP P&A RO,2025,2,0.0
5215S,DCP P&A RO,2025,3,0.0
5215G,DCP P&A RO,2025,1,6.065
5215G,DCP P&A RO,2025,2,0.0
5215G,DCP P&A RO,2025,3,0.0
3381S,DCP Service Contracts - New,2025,1,0.0
3381S,DCP Service Contracts - New,2025,2,17.92
3381S,DCP Service Contracts - New,2025,3,0.0
3381G,DCP Service Contracts - New,2025,1,0.0
3381G,DCP Service Contracts - New,2025,2,17.92
3381G,DCP Service Contracts - New,2025,3,0.0
5010S,DCP Warranty Labour - MITSUBISHI,2025,1,0.0
5010S,DCP Warranty Labour - MITSUBISHI,2025,2,0.0
5010S,DCP Warranty Labour - MITSUBISHI,2025,3,0.0
5010G,DCP Warranty Labour - MITSUBISHI,2025,1,0.0
5010G,DCP Warranty Labour - MITSUBISHI,2025,2,0.0
5010G,DCP Warranty Labour - MITSUBISHI,2025,3,0.0
8031D,Dealer Advertising Allowance,2025,1,-2168.53
8031D,Dealer Advertising Allowance,2025,2,-6250.015
8031D,Dealer Advertising Allowance,2025,3,-2286.58
1280DD,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,-129.56
1280DD,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,832.51
1280DD,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,1134.54
8030D,Dealer Advertising Allowance,2025,1,-1499.38
8030D,Dealer Advertising Allowance,2025,2,-3174.77
8030D,Dealer Advertising Allowance,2025,3,-1668.45
396LU,DEC.,2025,1,0.0
396LU,DEC.,2025,2,-45.26
396LU,DEC.,2025,3,3.2
391LU,DEC.,2025,1,0.0
391LU,DEC.,2025,2,0.21
391LU,DEC.,2025,3,0.0
8065D,Delivery Expense,2025,1,86.815
8065D,Delivery Expense,2025,2,31.87
8065D,Delivery Expense,2025,3,63.775
8190D,Demo Expense,2025,1,1146.085
8190D,Demo Expense,2025,2,1650.145
8190D,Demo Expense,2025,3,4575.39
8192D,Demo Expense,2025,1,705.78
8192D,Demo Expense,2025,2,705.81
8192D,Demo Expense,2025,3,1705.57
8455D,Depreciation - Bldgs. & Improvements,2025,1,0.0
8455D,Depreciation - Bldgs. & Improvements,2025,2,0.0
8455D,Depreciation - Bldgs. & Improvements,2025,3,0.0
8454D,Depreciation - Bldgs. & Improvements,2025,1,0.0
8454D,Depreciation - Bldgs. & Improvements,2025,2,0.0
8454D,Depreciation - Bldgs. & Improvements,2025,3,0.0
8452D,Depreciation - Buildings & Improvements,2025,1,0.0
8452D,Depreciation - Buildings & Improvements,2025,2,0.0
8452D,Depreciation - Buildings & Improvements,2025,3,0.0
8451D,Depreciation - Buildings & Improvements,2025,1,0.0
8451D,Depreciation - Buildings & Improvements,2025,2,0.0
8451D,Depreciation - Buildings & Improvements,2025,3,0.0
1710D,Depreciation of Lease & Rental Units,2025,1,0.0
1710D,Depreciation of Lease & Rental Units,2025,2,0.0
1710D,Depreciation of Lease & Rental Units,2025,3,0.0
8232D,Depreciation - Other,2025,1,0.0
8232D,Depreciation - Other,2025,2,-182.905
8232D,Depreciation - Other,2025,3,0.0
8234D,Depreciation - Other,2025,1,0.0
8234D,Depreciation - Other,2025,2,0.0
8234D,Depreciation - Other,2025,3,0.0
8235D,Depreciation - Other,2025,1,0.0
8235D,Depreciation - Other,2025,2,0.0
8235D,Depreciation - Other,2025,3,0.0
1280ED,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,32829.33
1280ED,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,25267.055
1280ED,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,28812.205
1280FD,Warranty Rec. / P.D.I. - Mitsubishi,2025,1,0.0
1280FD,Warranty Rec. / P.D.I. - Mitsubishi,2025,2,0.0
1280FD,Warranty Rec. / P.D.I. - Mitsubishi,2025,3,0.0
1230BD,Sales Incentives Retail / Fleet,2025,1,3020.48
1230BD,Sales Incentives Retail / Fleet,2025,2,1827.65
1230BD,Sales Incentives Retail / Fleet,2025,3,2027.3
18000ED,DEPT'L OPERATING PROFIT (LINE 2 MINUS 64),2025,1,-768.53
18000ED,DEPT'L OPERATING PROFIT (LINE 2 MINUS 64),2025,2,322.985
18000ED,DEPT'L OPERATING PROFIT (LINE 2 MINUS 64),2025,3,-211.205
5020S,Detailing,2025,1,0.005
5020S,Detailing,2025,2,0.0
5020S,Detailing,2025,3,0.0
5020G,Detailing,2025,1,0.005
5020G,Detailing,2025,2,0.0
5020G,Detailing,2025,3,0.0
3099G,DISCONTINUED MODELS,2025,1,97.745
3099G,DISCONTINUED MODELS,2025,2,18.665
3099G,DISCONTINUED MODELS,2025,3,0.0
8165D,Employee Benefits,2025,1,224.71
8165D,Employee Benefits,2025,2,152.025
8165D,Employee Benefits,2025,3,95.29
8242D,Equipment - Repairs & Rental,2025,1,22.17
8242D,Equipment - Repairs & Rental,2025,2,2.42
8242D,Equipment - Repairs & Rental,2025,3,6.34
8241D,Equipment - Repairs & Rental,2025,1,36.66
8241D,Equipment - Repairs & Rental,2025,2,5.64
8241D,Equipment - Repairs & Rental,2025,3,16.02
8244D,Equipment - Repairs & Rental,2025,1,21.05
8244D,Equipment - Repairs & Rental,2025,2,1.21
8244D,Equipment - Repairs & Rental,2025,3,80.585
8245D,Equipment - Repairs & Rental,2025,1,5.32
8245D,Equipment - Repairs & Rental,2025,2,49.38
8245D,Equipment - Repairs & Rental,2025,3,14.18
391BU,FEB.,2025,1,3.48
391BU,FEB.,2025,2,18.205
391BU,FEB.,2025,3,19.845
396BU,FEB.,2025,1,-135.65
396BU,FEB.,2025,2,-1086.29
396BU,FEB.,2025,3,-377.52
392BU,FEB.,2025,1,0.575
392BU,FEB.,2025,2,4.19
392BU,FEB.,2025,3,0.865
395BU,FEB.,2025,1,11.155
395BU,FEB.,2025,2,-157.075
395BU,FEB.,2025,3,25.055
3701S,Finance Income (CPO),2025,1,219.27
3701S,Finance Income (CPO),2025,2,2686.265
3701S,Finance Income (CPO),2025,3,64.14
3310S,Finance Income - New,2025,1,867.64
3310S,Finance Income - New,2025,2,2952.74
3310S,Finance Income - New,2025,3,2194.2
3310G,Finance Income - New,2025,1,961.685
3310G,Finance Income - New,2025,2,3054.68
3310G,Finance Income - New,2025,3,2166.025
3707S,Finance Income (Non CPO),2025,1,6972.42
3707S,Finance Income (Non CPO),2025,2,5718.835
3707S,Finance Income (Non CPO),2025,3,4648.54
3707G,Finance Income (Non CPO),2025,1,7202.875
3707G,Finance Income (Non CPO),2025,2,5794.755
3707G,Finance Income (Non CPO),2025,3,4363.02
3710G,Finance Income (Other Makes),2025,1,39.955
3710G,Finance Income (Other Makes),2025,2,0.09
3710G,Finance Income (Other Makes),2025,3,17.245
3710S,Finance Income (Other Makes),2025,1,39.955
3710S,Finance Income (Other Makes),2025,2,0.09
3710S,Finance Income (Other Makes),2025,3,17.245
1130D,Finance / Insurance Income Rec. - Current,2025,1,3403.375
1130D,Finance / Insurance Income Rec. - Current,2025,2,2579.09
1130D,Finance / Insurance Income Rec. - Current,2025,3,2636.615
1130BD,Finance / Insurance Income Rec. - Current,2025,1,3293.78
1130BD,Finance / Insurance Income Rec. - Current,2025,2,2051.355
1130BD,Finance / Insurance Income Rec. - Current,2025,3,2481.545
1130CD,Finance / Insurance Income Rec. - Current,2025,1,378.035
1130CD,Finance / Insurance Income Rec. - Current,2025,2,139.62
1130CD,Finance / Insurance Income Rec. - Current,2025,3,14.145
1130ED,Finance / Insurance / Service Contracts,2025,1,22.56
1130ED,Finance / Insurance / Service Contracts,2025,2,32.22
1130ED,Finance / Insurance / Service Contracts,2025,3,0.0
1130DD,Finance / Insurance / Service Contracts,2025,1,45.12
1130DD,Finance / Insurance / Service Contracts,2025,2,53.7
1130DD,Finance / Insurance / Service Contracts,2025,3,0.0
1130FD,Finance / Insurance / Service Contracts,2025,1,22.56
1130FD,Finance / Insurance / Service Contracts,2025,2,32.22
1130FD,Finance / Insurance / Service Contracts,2025,3,0.0
1960D,Finance / Insur. Income Receivable - Deferred,2025,1,4983.18
1960D,Finance / Insur. Income Receivable - Deferred,2025,2,370.055
1960D,Finance / Insur. Income Receivable - Deferred,2025,3,0.0
0970P,F & I Sales Reps.,2025,1,0.0
0970P,F & I Sales Reps.,2025,2,0.0
0970P,F & I Sales Reps.,2025,3,0.0
1230CD,Sales Incentives Retail / Fleet,2025,1,552.9
1230CD,Sales Incentives Retail / Fleet,2025,2,33.4
1230CD,Sales Incentives Retail / Fleet,2025,3,0.0
8720D,Fixed Oper. Advert. Co-Op Credit,2025,1,1554.405
8720D,Fixed Oper. Advert. Co-Op Credit,2025,2,437.98
8720D,Fixed Oper. Advert. Co-Op Credit,2025,3,114.075
8724D,Fixed Oper. Advertising Co-Op Credit,2025,1,0.0
8724D,Fixed Oper. Advertising Co-Op Credit,2025,2,0.0
8724D,Fixed Oper. Advertising Co-Op Credit,2025,3,0.0
8225D,Fixed Oper. Advertising / Promotion,2025,1,6.64
8225D,Fixed Oper. Advertising / Promotion,2025,2,6.63
8225D,Fixed Oper. Advertising / Promotion,2025,3,1.355
8224D,Fixed Oper. Advertising / Promotion,2025,1,9.96
8224D,Fixed Oper. Advertising / Promotion,2025,2,6.63
8224D,Fixed Oper. Advertising / Promotion,2025,3,1.355
1230DD,Sales Incentives Retail / Fleet,2025,1,66.8
1230DD,Sales Incentives Retail / Fleet,2025,2,768.2
1230DD,Sales Incentives Retail / Fleet,2025,3,33.4
8335D,Freight & Express,2025,1,0.0
8335D,Freight & Express,2025,2,0.0
8335D,Freight & Express,2025,3,56.89
5280G,"Gas, Oil & Grease",2025,1,10.43
5280G,"Gas, Oil & Grease",2025,2,4.775
5280G,"Gas, Oil & Grease",2025,3,4.595
5280U,"Gas, Oil & Grease",2025,1,2.8254999999999995
5280U,"Gas, Oil & Grease",2025,2,1.17
5280U,"Gas, Oil & Grease",2025,3,1.05955
5280S,"Gas, Oil & Grease",2025,1,17.085
5280S,"Gas, Oil & Grease",2025,2,11.81
5280S,"Gas, Oil & Grease",2025,3,9.88
8075D,Goodwill Policy,2025,1,122.37
8075D,Goodwill Policy,2025,2,20.86
8075D,Goodwill Policy,2025,3,28.82
8071D,Goodwill Policy,2025,1,285.735
8071D,Goodwill Policy,2025,2,70.36
8071D,Goodwill Policy,2025,3,71.58
8072D,Goodwill Policy,2025,1,134.035
8072D,Goodwill Policy,2025,2,22.815
8072D,Goodwill Policy,2025,3,57.65
8074D,Goodwill Policy,2025,1,348.195
8074D,Goodwill Policy,2025,2,113.66
8074D,Goodwill Policy,2025,3,154.885
8495D,Heat - Light - Power - Water,2025,1,18.405
8495D,Heat - Light - Power - Water,2025,2,60.35
8495D,Heat - Light - Power - Water,2025,3,90.655
560TP,Hired YTD,2025,1,0.38
560TP,Hired YTD,2025,2,-0.00095
560TP,Hired YTD,2025,3,0.03
560DP,Hired YTD,2025,1,0.0
560DP,Hired YTD,2025,2,-0.00095
560DP,Hired YTD,2025,3,0.0
560BP,Hired YTD,2025,1,0.0
560BP,Hired YTD,2025,2,-0.00095
560BP,Hired YTD,2025,3,0.0
560CP,Hired YTD,2025,1,0.0
560CP,Hired YTD,2025,2,-0.00095
560CP,Hired YTD,2025,3,0.0
560EP,Hired YTD,2025,1,0.04
560EP,Hired YTD,2025,2,-0.00095
560EP,Hired YTD,2025,3,0.0
8475D,Insurance - Buildings & Improvements,2025,1,31.61
8475D,Insurance - Buildings & Improvements,2025,2,36.265
8475D,Insurance - Buildings & Improvements,2025,3,5.405
3702S,Insurance Income (CPO),2025,1,0.0
3702S,Insurance Income (CPO),2025,2,34.91
3702S,Insurance Income (CPO),2025,3,0.0
3702G,Insurance Income (CPO),2025,1,0.0
3702G,Insurance Income (CPO),2025,2,34.91
3702G,Insurance Income (CPO),2025,3,0.0
3341S,Insurance Income - New,2025,1,0.06
3341S,Insurance Income - New,2025,2,35.84
3341S,Insurance Income - New,2025,3,10.815
3341G,Insurance Income - New,2025,1,3.58
3341G,Insurance Income - New,2025,2,53.82
3341G,Insurance Income - New,2025,3,10.825
3706G,Insurance Income (Non CPO),2025,1,0.0
3706G,Insurance Income (Non CPO),2025,2,0.0
3706G,Insurance Income (Non CPO),2025,3,0.0
3706S,Insurance Income (Non CPO),2025,1,0.0
3706S,Insurance Income (Non CPO),2025,2,0.0
3706S,Insurance Income (Non CPO),2025,3,0.0
3713G,Insurance Income (Other Makes),2025,1,4.145
3713G,Insurance Income (Other Makes),2025,2,0.0
3713G,Insurance Income (Other Makes),2025,3,0.0
3713S,Insurance Income (Other Makes),2025,1,4.145
3713S,Insurance Income (Other Makes),2025,2,0.0
3713S,Insurance Income (Other Makes),2025,3,0.0
8394D,Insurance - Other,2025,1,0.0
8394D,Insurance - Other,2025,2,0.0
8394D,Insurance - Other,2025,3,0.0
8395D,Insurance - Other,2025,1,0.0
8395D,Insurance - Other,2025,2,0.0
8395D,Insurance - Other,2025,3,0.0
8392D,Insurance - Other,2025,1,0.0
8392D,Insurance - Other,2025,2,0.0
8392D,Insurance - Other,2025,3,0.0
8391D,Insurance - Other,2025,1,0.0
8391D,Insurance - Other,2025,2,0.0
8391D,Insurance - Other,2025,3,0.0
2220D,Insurance Payable,2025,1,2500.0
2220D,Insurance Payable,2025,2,0.0
2220D,Insurance Payable,2025,3,0.0
2200D,Interest Payable,2025,1,4000.0
2200D,Interest Payable,2025,2,0.0
2200D,Interest Payable,2025,3,0.0
1285D,Warranty Receivables - Other,2025,1,0.0
1285D,Warranty Receivables - Other,2025,2,0.0
1285D,Warranty Receivables - Other,2025,3,0.0
2560D,Drawings,2025,1,1068.63
2560D,Drawings,2025,2,0.0
2560D,Drawings,2025,3,0.0
8485D,Interest - Real Estate - Mortgage,2025,1,3.48
8485D,Interest - Real Estate - Mortgage,2025,2,20.37
8485D,Interest - Real Estate - Mortgage,2025,3,0.0
8484D,Interest - Real Estate - Mortgage,2025,1,3.48
8484D,Interest - Real Estate - Mortgage,2025,2,0.0
8484D,Interest - Real Estate - Mortgage,2025,3,0.0
8482D,Interest - Real Estate - Mortgage,2025,1,2.525
8482D,Interest - Real Estate - Mortgage,2025,2,0.0
8482D,Interest - Real Estate - Mortgage,2025,3,0.0
8481D,Interest - Real Estate - Mortgage,2025,1,2.525
8481D,Interest - Real Estate - Mortgage,2025,2,0.0
8481D,Interest - Real Estate - Mortgage,2025,3,0.0
5430S,Internal Body Shop Labour,2025,1,161.1434
5430S,Internal Body Shop Labour,2025,2,218.26785
5430S,Internal Body Shop Labour,2025,3,0.0
5430G,Internal Body Shop Labour,2025,1,161.1434
5430G,Internal Body Shop Labour,2025,2,218.26785
5430G,Internal Body Shop Labour,2025,3,0.0
5261U,Internal P&A RO,2025,1,10885.785
5261U,Internal P&A RO,2025,2,-869.1113500000001
